authorName,authorProfileId,postedAtISO,numLikes,numComments,numShares,type,text,url
Reshma Saujani,reshma-saujani,2025-11-07T22:13:39.288Z,481,32,2,image,"Happy #FailureFriday!

Last weekend, my team at Moms First and I were so excited for our segment on CBS Sunday Morning (about child care) to air live after months of working behind the scenes on it.

I woke up early, made pancakes, and called the family in to watch. It felt like such a big moment…. one of those rare chances to actually see the movement we’ve been building together. And, I definitely had expectations in my head of exactly how the scene would play out at home for the big reveal.

Then, reality laughed at the plans I had made.

My youngest, Sai, wanted to watch Peppa Pig. Shaan, my oldest, playfully grabbed the remote in a game of keep-away. I got mad. They got madder. Suddenly we were in a big argument in separate corners of the room negotiating screen time instead of watching my big moment unfold. And in the cartoonish tornado of flying words and objects (somehow tiny socks were launched in the air?), the segment had come and gone.

After we all had cooled down in our respective corners of the house, Shaan and Sai came downstairs and, in the most sweet and genuine voices said, “I’m sorry, momma.” I took a breath, laughed, and we sat down to rewatch it together (Thank God for YouTube TV!). Calmly, this time. And, cuddled up on the couch.

The moment I’d imagined all morning — the perfect live debut, the family gathered around in awe — didn’t happen. I got a small circus instead.

And truthfully, I’m still figuring out how to hold both things at once: the pride and the frustration, the joy and the chaos. How to let the big moments be messy and still mean something.

I know I'm not the only one. Sound like anyone else's Sunday at home?",https://www.linkedin.com/posts/reshma-saujani_failurefriday-activity-7392685695594680322-gNyD?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB40j2AB3M_cnrZLTeoRKiTiCjqBS_y8xgQ
Reshma Saujani,reshma-saujani,2025-12-05T17:00:55.817Z,471,33,15,linkedinVideo,"That’s a con we’ve been telling women and girls, and it’s the exact one we’ve set out to expose in our new documentary film about American motherhood, coming soon in 2026.

This film is for every mother doing everything right and still feeling like she’s failing, not because she is, but because the system is failing her.

We’re calling on moms (and dads and anyone who cares about moms) to come on board as an associate producer on our new film in one of 3 ways.

1. Sign up to host a screening this summer.
2. Share your story in writing or on video.
3. Donate $25 or more (or gift a credit in someone else’s name).

Let’s do this. 👊

(Video: Vermont Women's Fund's annual celebration)",https://www.linkedin.com/posts/reshma-saujani_thats-a-con-weve-been-telling-women-and-activity-7402753856129941504-G-9Y?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFoXFi4BOC_D0RsY3wMeWnzL1IKWa8miWCk
Reshma Saujani,reshma-saujani,2025-10-16T14:16:55.623Z,461,25,29,linkedinVideo,"Failure is a superpower. It’s how we become great.

Some of you have asked if I’ll bring back my #FailureFriday series. Well guess what? It’s back… Once a month on my Substack, starting this week, I’ll share one failure, big or small, and what it’s teaching me.

Got a good failure story of your own? Drop it in the comments!

📺: Vermont Women's Fund",https://www.linkedin.com/posts/reshma-saujani_failurefriday-activity-7384593190084833282-rliG?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADpvVoYBUx2AZFR---ZdAR9LHeZnQHPr4i4
Reshma Saujani,reshma-saujani,2025-12-04T20:46:58.826Z,347,131,19,image,"Can I get a roll call?

If you've signed on to be an Associate Producer on our film, introduce yourself!!!!!

And remember, there's 3 ways to become an AP:

1. Sign up to host a screening this summer.
2. Share your story in writing or on video.
3. Donate $25 or more (or gift a credit in someone else's name).

Now let's go change the story of American motherhood. For good.

🔗 Interested in becoming an AP? Check out the link in my comments for all the deets!

(Screenshot from Fortune Most Powerful Women's newsletter)",https://www.linkedin.com/posts/reshma-saujani_can-i-get-a-roll-call-if-youve-signed-activity-7402448355647299584-Mssf?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFoXFi4BOC_D0RsY3wMeWnzL1IKWa8miWCk
Reshma Saujani,reshma-saujani,2026-01-08T22:14:29.250Z,445,23,11,image,"An incredible day for New York!!!!!! 🗽

Today, I am beyond proud to be a New Yorker and a mom.

#childcare
#universalchildcare
#preschool
#newyork
#newyorkcity",https://www.linkedin.com/posts/reshma-saujani_childcare-universalchildcare-preschool-activity-7415153952817950722-1IsI?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB7gKtAB2g4oHA8yJY0VljOb7bPdVFl3jU4
Reshma Saujani,reshma-saujani,2025-12-31T20:00:32.170Z,444,17,1,image,"Wishing everyone happiness, health, and hope in 2026. ❤️

Love,
Reshma, Nihal, Sai, Shaan, Steve (and Stan)",https://www.linkedin.com/posts/reshma-saujani_wishing-everyone-happiness-health-and-hope-activity-7412221139936202755-sinb?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABXWSDsBRDKBdVxCmXW6KbToEUrvJQ3rCTs
Reshma Saujani,reshma-saujani,2025-12-19T22:10:35.998Z,394,15,15,image,"Friends,

This was a hard year.

A year of war and fear, of democratic backsliding and institutional silence. A year when too many powerful people chose comfort over courage and neutrality over humanity. I watched institutions I believed in hedge, delay, and look away. I saw how quickly values can collapse when they become inconvenient.

And what kept me going was watching women act anyway, the odds and the outcomes be damned.

Again and again this year, women stepped forward when it cost them something. Their jobs. Their safety. Their privacy. Their reputations. They did not wait for permission or consensus. They did not ask whether the moment was good for their brand. They saw harm, or opportunity to do good, and they refused to be quiet.

Some of this bravery happened on the biggest stages in the world. Some of it happened in courtrooms, classrooms, daycare centers, studios, and hospital rooms. Some of it came from women whose names you know. Some came from women who will never be protected by power or praised by the press.

That is the kind of bravery I want to honor this year. Not perfection. Not heroics. Bravery that looks like staying human inside systems that reward cruelty. Bravery that looks like telling the truth when silence would be safer. Bravery that shows up in care work, in creativity, in science, in justice, and in motherhood.

This list is not exhaustive and it is not ranked. It is just a tiny offering of gratitude despite the immutable noise that constantly asks us, in surround sound, to dismiss and vilify each other.

So thank you to the women who reminded me, in a year that tested so much, that bravery still exists. And yes, it matters.

❤️,
Reshma",https://www.linkedin.com/posts/reshma-saujani_friends-this-was-a-hard-year-a-year-of-activity-7407905217175928832-WZiZ?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE2a-BEBl09j2DeKHhRpFDkwRhKN70r29bw
Reshma Saujani,reshma-saujani,2025-12-02T20:54:06.355Z,353,52,28,linkedinVideo,"We're making a film, and we want you to be part of it!

This film is for every mother doing everything right and still feeling like she’s failing, not because she is, but because the system is failing her.

We are inviting thousands of mothers and allies to join the project. Together, we’re aiming to break the Guinness World Record for the most producers ever listed on a film.
 
Becoming an AP is simple. Just do one of the following:

1. Share your story — in writing or on video.
2. Donate $25 or more (or gift a credit in someone's name).
3. Sign up to a host a screening this summer.

That's it. I promise.

Now moms, let's get to work! It's time to come together to change the story of American motherhood.

Thank you to Holly Corbett for the exclusive in Forbes. And a special shout-out to our producers Culture House Media + French Tuck Media and our amazing director, Raeshem Nijhon.

cc Moms First",https://www.linkedin.com/posts/reshma-saujani_were-making-a-film-and-we-want-you-to-be-activity-7401725373102829568-7re3?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFoXFi4BOC_D0RsY3wMeWnzL1IKWa8miWCk
Reshma Saujani,reshma-saujani,2025-12-04T17:52:27.040Z,295,107,8,linkedinVideo,"Asked about Mayor-elect Mamdani, Erika Kirk’s response to the New York Times was that young women moving to cities like New York shouldn’t look to the government as a substitute for marriage or kids.

“What I don’t want to have happen is women, young women in the city, look to the government as a solution to put off having a family or a marriage, because you’re relying on the government to support you instead of being united with a husband…”

I often talk about the cons we tell women and moms, and I want to call one out here.

The birth rate is declining not because the government is being TOO generous to moms and families. No young woman moving to a city like New York thinks the government is her boyfriend and thus she doesn’t need a real-life partner.

The reality is that women are getting priced out of marriage and parenthood. Marriage for women often means more work, less pay, and zero support. As I’ve said many times, women aren’t rejecting marriage or motherhood because they don’t value family — they’re doing the math. And until we fix the equation with paid leave, affordable child care, and real support, we need to stop with the distractions.",https://www.linkedin.com/posts/reshma-saujani_asked-about-mayor-elect-mamdani-erika-kirk-activity-7402404433793273857-2WGN?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFoXFi4BOC_D0RsY3wMeWnzL1IKWa8miWCk
Reshma Saujani,reshma-saujani,2025-11-02T16:25:50.180Z,362,17,33,linkedinVideo,"Guys, this is HUGE. Our movement for affordable child care was on one of the biggest news shows in the country this morning!

Child care is one of the most important political issues of our time, and the media is taking notice.

Moms, YOU DID THIS. Take a moment to celebrate this small victory and all the other recent wins. This year alone, we’ve had big child care wins in New Mexico and Vermont. Next, we’re taking the movement to New York, New Jersey, Connecticut, Virginia, and Colorado.

So stay loud. Stay focused. And keep sharing your child care stories.

Moms First has something big coming. Trust me on that. 😉 

Lastly, thank you to CBS Sunday Morning and TRACY SMITH for shining a national spotlight on this crisis and the moms who are working hard to fix it!!!",https://www.linkedin.com/posts/reshma-saujani_guys-this-is-huge-our-movement-for-affordable-activity-7390786224883539968-HlIN?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB40j2AB3M_cnrZLTeoRKiTiCjqBS_y8xgQ
Reshma Saujani,reshma-saujani,2025-12-08T21:05:48.483Z,345,11,5,linkedinVideo,"“When will you run for office, Reshma?”

I get asked that a lot, which is so flattering. But the thing is I actually *did* run for office in my 30s. Twice. And I lost pretty epically. Twice!

But since then, I’ve gone on to found Girls Who Code and then Moms First, and now I’m 50 and we’re making a film about our work changing the story of American motherhood.

Not only that, we’re determined to break the Guinness World Record for most associate producers credited in a film. Because this film and this movement is for all of us.

Who’s ready to join us? Let's do this together!",https://www.linkedin.com/posts/reshma-saujani_when-will-you-run-for-office-reshma-activity-7403902645234475008-hI2f?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADQ_LHkB2V_Pv_5w1EehW46rK8xbW3kA2r8
Reshma Saujani,reshma-saujani,2026-02-02T16:25:29.926Z,330,18,18,text,"If you’re like me, you’re probably wondering why there’s been deafening silence from corporate and tech leaders and businesses.

I for one am not happy about it.

To be clear, speaking out against ICE is absolutely the moral thing to do. Period.

But for anyone who isn’t willing to speak up just because it’s the right thing to do, let me try to persuade you with a capitalist reason.

These are not normal times. People are scared, they’re distracted, workers are afraid to show up to work or outright disappearing. It’s no wonder productivity is dropping and our local economies are taking a hit.

In short: Carrying on like it’s business as usual isn’t just morally wrong. It’s fiscal malpractice.

If you’re a CEO wondering whether to speak up or not, remember this: Silence isn’t neutral. It’s expensive.

If you’re not going to do it because it’s the right thing to do, at least do what’s right for business.

And for any CEOs who wants to talk, please reach out.

Thank you to Fast Company’s Stephanie Mehta for writing about the business/tech community’s silence and for speaking with me about it: https://lnkd.in/edry8TDc",https://www.linkedin.com/posts/reshma-saujani_if-youre-like-me-youre-probably-wondering-activity-7424125823567409153-H2k1?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEIWbD0BJKrG7iRdUpFYZAC3-9q6QhxhwOY
Reshma Saujani,reshma-saujani,2026-01-12T19:22:02.531Z,327,12,8,image,"43 down in The New York Times crossword today 👀 🎉 

Girls Who... (nonprofit promoting women in computer science)

cc Girls Who Code",https://www.linkedin.com/posts/reshma-saujani_43-down-in-the-new-york-times-crossword-today-activity-7416560106995130368-6LSF?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB7gKtAB2g4oHA8yJY0VljOb7bPdVFl3jU4
Reshma Saujani,reshma-saujani,2025-12-16T01:08:14.383Z,331,7,3,image,"I am the proud daughter of refugees from Uganda.

Grateful to be included in Amir Khafagy's story in Documented about those of us who see our own families represented in Mayor-elect Mamdani's roots.

For anyone interested, I'll drop the link in my comments.

""Before Mamdani’s political rise, in 2009, attorney and founder of Girls Who Code and Founder of Moms First, Reshma Saujani, 50, laid the groundwork as the first woman of South Asian descent to run for Congress. In 2013, she ran for Public Advocate, becoming the first Indian Ugandan to run for city-wide office. Although she lost both elections, Saujani says her campaigns contributed to the political awakening of the South Asian community that helped elect Mamdani. 

'I would walk into someone’s apartment in Jackson Heights, and there’d be a little girl with my poster on her bedroom, and she’s like, ‘Oh my god, like, I can run now too,’' said Saujani in an interview with Documented. 'But when I lost, especially […] in 2013 for public advocate, it was pretty hard, and I remember thinking, a South Asian can never win. And so watching Zorhan run in this race, apply the lessons we learned, and win was just beyond joyful. It was a moment of growth, a kind of personal pride.'

For Saujani, who was born in Chicago but had grown up hearing stories from her father about being forced out of Uganda, the country where he was born. Those stories shaped her desire to be politically engaged.

'[I saw] how you can be a citizen of a country, born and raised for two generations, and […] be stripped away of your rights in a second,' she said. 'That’s part of why I’m an activist, why I’m an organizer, why I’m spending my life helping people who don’t have a voice. [It’s] because of my parents’ story.'”",https://www.linkedin.com/posts/reshma-saujani_i-am-the-proud-daughter-of-refugees-from-activity-7406500370220257280-dUKg?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE2a-BEBl09j2DeKHhRpFDkwRhKN70r29bw
Reshma Saujani,reshma-saujani,2026-01-22T18:47:52.584Z,299,22,21,image,"We heard that organized “wine moms” are a threat to America. 🍷

So we’re bringing reinforcements.

Join us for Motherhood Live: The “Wine Mom” Panic, now featuring Gloria Steinem, SHANNON WATTS (founder of Moms Demand Action for Gun Sense in America), and Katie Bethell (Executive Director of MoveOn), alongside an incredible lineup of women who know what happens when moms organize.

This is a live, no-BS conversation about how ridicule is used to silence women—and how we can turn backlash into action.

🗓️: Monday, January 26 @ 7:00 PM ET / 4pm PT
📍: Wherever you are

Save your spot here: https://lnkd.in/e9QCJZax",https://www.linkedin.com/posts/reshma-saujani_we-heard-that-organized-wine-moms-are-a-activity-7420175387550289920-PCf9?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB40j2AB3M_cnrZLTeoRKiTiCjqBS_y8xgQ
Reshma Saujani,reshma-saujani,2026-01-30T19:50:34.241Z,287,24,17,linkedinVideo,"If you know me, you know I love exposing a good con.

For those of you who watched my Smith College grad speech on ""bicycle face"" and the myth of imposter syndrome, I've got something coming that you might be interested in!

I am PUMPED to team up with New York University School of Law's Birnbaum Women's Leadership Center at NYU Law to walk us through the history of American motherhood and dive into some of the biggest cons and lies about motherhood and women.

We're calling it the American Motherhood Lectures.

And if you're in New York City, come to the taping!

🗓️ : February 12 @ 3:30 - 4:30pm ET
📍: NYU School of Law @ 40 Washington Square South
🎟️: Tickets are free, but space is limited. Bring your kids!

RSVP here: https://lnkd.in/eMJfiePV",https://www.linkedin.com/posts/reshma-saujani_if-you-know-me-you-know-i-love-exposing-activity-7423090268008091648-jkLe?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEIWbD0BJKrG7iRdUpFYZAC3-9q6QhxhwOY
Reshma Saujani,reshma-saujani,2025-11-12T18:46:17.465Z,258,20,11,linkedinVideo,"Last month had more layoffs than any October since 2003, with U.S. employers cutting more than 153,000 jobs. Some big companies are attributing it to people being replaced with AI, hence the name ""AI layoffs.""

I'm calling bullsh*t. Here's why.",https://www.linkedin.com/posts/reshma-saujani_last-month-had-more-layoffs-than-any-october-activity-7394445450134622208-ExMb?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE8g_d4BGgZxQ4CpVaBEYFZUA5xzoL9hj_I
Reshma Saujani,reshma-saujani,2026-01-21T18:37:51.821Z,240,19,18,image,"Child care in the U.S. is an utter market failure.

And it’s a failure on the part of our government.

The United States is the wealthiest country in the world that invests the LEAST into child care. We are the only wealthy nation in the world that doesn’t have guaranteed paid family leave.

It doesn’t need to be this way. We can do so much better.

(Source of the stat: LendingTree, using the federal definition of “affordable,” defined as spending no more than 7% of a household income)",https://www.linkedin.com/posts/reshma-saujani_child-care-in-the-us-is-an-utter-market-activity-7419810479902097408-bROy?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB40j2AB3M_cnrZLTeoRKiTiCjqBS_y8xgQ
Reshma Saujani,reshma-saujani,2025-12-11T22:58:28.074Z,215,21,15,linkedinVideo,"Ok all, let's dive into the so-called ""ambition gap"" between men and women at work.

A new report from Lean In and McKinsey & Company shows that for the first time in the report's 10-year history, significantly fewer women than men want a promotion at work.

Compared with 80% of men in entry-level career stages, 86% in mid-career, and 92% of senior execs, only 69% of women in entry-level stages, 82% mid-career, and 84% of women senior execs reported a desire to advance in their careers.

This is what's been called the ""ambition gap.""

Here's the thing: it's not exactly a mystery. This is the logical outcome of the past year of companies backsliding on their commitments to women in the workplace.

Women aren't losing ambition. We're just paying attention.

But it doesn't have to be this way.

Moms First is here and on the case. Join us!",https://www.linkedin.com/posts/reshma-saujani_ok-all-lets-dive-into-the-so-called-ambition-activity-7405018160610873344-LYQf?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADQ_LHkB2V_Pv_5w1EehW46rK8xbW3kA2r8
Reshma Saujani,reshma-saujani,2025-11-29T18:28:28.492Z,222,12,3,linkedinVideo,"True or false: The largest pay gap is for women over 50 🤔
.
.
.
It’s true. I call it the midlife penalty.

But it doesn’t have to be this way. For too long, we’ve been made to feel like our lives are over the minute we enter menopause.

I’m calling BS.",https://www.linkedin.com/posts/reshma-saujani_true-or-false-the-largest-pay-gap-is-for-activity-7400601560252309504-hieg?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFoXFi4BOC_D0RsY3wMeWnzL1IKWa8miWCk
Reshma Saujani,reshma-saujani,2025-11-20T19:04:28.020Z,220,13,8,linkedinVideo,"We often don’t think that moms break, but they’re broken right now.

What’s more is that we are made to believe it’s all our fault.

Moms, you can’t girlboss your way out of a broken structure. We aren’t the problem. The problem has always been the structure.

#AllHerFault",https://www.linkedin.com/posts/reshma-saujani_allherfault-activity-7397349127178723328-AWvW?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE8g_d4BGgZxQ4CpVaBEYFZUA5xzoL9hj_I
Reshma Saujani,reshma-saujani,2025-12-24T18:40:11.384Z,207,17,5,linkedinVideo,"Well this was a little too real, wasn't it, moms?

Happy holidays to all the moms out there who are just barely holding it together! ❤️ 

📺: All Her Fault, episode 5",https://www.linkedin.com/posts/reshma-saujani_well-this-was-a-little-too-real-wasnt-it-activity-7409664205034913792-lVNt?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE2a-BEBl09j2DeKHhRpFDkwRhKN70r29bw
Reshma Saujani,reshma-saujani,2026-01-20T16:27:55.035Z,208,15,16,image,"""From the first day of his administration, Mr. Trump sought to remove diversity, equity and inclusion initiatives, both in the federal government and the private sector. Those programs were originally designed to eliminate historical biases in hiring. Many of the women interviewed, echoing broader criticisms, said Mr. Trump seemed to be deliberately misconstruing the term D.E.I., turning it into a reason to dismiss highly qualified Black people. D.E.I. professionals started to lose their jobs, but even Black women not involved in diversity work said they felt a chill.”

A must-read from Jordyn Holman in The New York Times ⬇️

I see the backlash against Black women and women and girls' opportunity everyday. We've got to keep sharing our stories, challenging institutions, supporting one another and not falling for the lies and misinformation.",https://www.linkedin.com/posts/reshma-saujani_from-the-first-day-of-his-administration-activity-7419415389945913344-J8KU?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB40j2AB3M_cnrZLTeoRKiTiCjqBS_y8xgQ
Reshma Saujani,reshma-saujani,2025-11-26T19:36:11.576Z,190,20,23,linkedinVideo,"ICYMI: The Department of Education recently unveiled a plan to exclude nursing, teaching, and other women-dominated fields from a list of “professional” degrees, which would limit how future generations of nurses and teachers can obtain student loans and pursue these fields.

Here’s the thing: This isn’t just bad for women. It’s bad for ALL OF US.

Let’s break it down!",https://www.linkedin.com/posts/reshma-saujani_icymi-the-department-of-education-recently-activity-7399531438464724992-9VTE?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFoXFi4BOC_D0RsY3wMeWnzL1IKWa8miWCk
Reshma Saujani,reshma-saujani,2025-11-01T23:08:45.710Z,196,9,8,linkedinVideo,"Cat's out of the bag! Our fight for child care is coming to CBS Sunday Morning 👊

Tune in THIS SUNDAY! I'll be talking all about the astronomical cost of child care and our work at Moms First to fix it with TRACY SMITH.

Let me know if you catch it!!!!",https://www.linkedin.com/posts/reshma-saujani_cats-out-of-the-bag-our-fight-for-child-activity-7390525236540018688-yM4M?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB40j2AB3M_cnrZLTeoRKiTiCjqBS_y8xgQ
Reshma Saujani,reshma-saujani,2025-12-10T01:42:33.201Z,185,15,12,document,"Here's the con: A political movement has spent years convincing the public that DEI gives unfair advantages to women and people of color, while men have quietly been benefiting from the same considerations.

On my Substack today, I dive into the DEI panic and what the data really shows.

As always, let me know what you think! I'll share the link in my comments for anyone interested in subscribing for my weekly deep-dive. 😉",https://www.linkedin.com/posts/reshma-saujani_the-dei-panic-gets-a-plot-twist-activity-7404334678335451136-VM-Y?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADQ_LHkB2V_Pv_5w1EehW46rK8xbW3kA2r8
Reshma Saujani,reshma-saujani,2025-11-12T16:02:09.032Z,186,14,8,linkedinVideo,"Gender relations are not a football match.

If you're a woman, it's OK to care about men, too. And vice versa!

My friend Gary Barker, PhD is spot on. Gary is the founder & CEO of Equimundo: Center for Masculinities and Social Justice, an incredible organization working to get men and boys involved in the fight for gender equality. I'm so excited to have him as my guest on My So-Called Midlife this week, where we talk about one of my favorite issues: the crisis of disconnection, and how it's hurting men and women alike.

As Gary reminds us, it’s okay to care about men. And when we do, everyone wins.

Go listen to the full episode on My So Called Midlife today. And as always, let me know what you think!",https://www.linkedin.com/posts/reshma-saujani_gender-relations-are-not-a-football-match-activity-7394404142812712960-WXGT?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE8g_d4BGgZxQ4CpVaBEYFZUA5xzoL9hj_I
Reshma Saujani,reshma-saujani,2025-10-29T19:26:11.082Z,175,11,4,linkedinVideo,"Economist Corinne Low breaks down what the data says about gender roles in heterosexual relationships 🔎

Corinne’s new book, Having It All, is out now. We dive into what math can tell us about women’s lives and our relationships on this week’s episode of My So-Called Midlife!",https://www.linkedin.com/posts/reshma-saujani_economistcorinne-low-breaks-down-what-the-activity-7389382059573534720-TOn_?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADpvVoYBUx2AZFR---ZdAR9LHeZnQHPr4i4
Reshma Saujani,reshma-saujani,2026-01-21T01:03:12.266Z,171,10,14,linkedinVideo,"The United States is exceptionally BAD at how we approach child care.

And that needs to change.

📺 : World Economic Forum in Davos, 2024
.
.
.
#Davos #WorldEconomicForum #ChildCare #Motherhood",https://www.linkedin.com/posts/reshma-saujani_davos-worldeconomicforum-childcare-activity-7419545066211278848-rdCI?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB40j2AB3M_cnrZLTeoRKiTiCjqBS_y8xgQ
Reshma Saujani,reshma-saujani,2026-01-20T13:40:47.249Z,134,17,1,image,"I loved Jonathan Haidt's The Anxious Generation. And like so many parents, it got me thinking about how much time my boys are already spending behind screens. Thank you to Jonathan Haidt and Catherine Price for sending us a copy of “The Amazing Generation” for my oldest. And it even came with some games so that my little one could enjoy it too!",https://www.linkedin.com/posts/reshma-saujani_i-loved-jonathan-haidts-the-anxious-generation-activity-7419373330362740736-tIpi?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB40j2AB3M_cnrZLTeoRKiTiCjqBS_y8xgQ
Reshma Saujani,reshma-saujani,2026-01-13T15:47:30.910Z,120,21,2,image,"If you want one chart to explain why moms today are losing our minds, see here:",https://www.linkedin.com/posts/reshma-saujani_if-you-want-one-chart-to-explain-why-moms-activity-7416868507369267200-7HCO?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB7gKtAB2g4oHA8yJY0VljOb7bPdVFl3jU4
Reshma Saujani,reshma-saujani,2025-10-21T17:16:02.024Z,134,4,4,image,"""In early September, the national nonprofit, Moms First launched a campaign calling for mayoral candidates to make childcare their top priority. A petition was also launched, urging the next mayor to invest in the issue during his first 100 days in office and hold him accountable to that investment. This campaign has allowed the CEO and Founder of Moms First, Reshma Saujani, to meet with leaders of both the city and state. She has met with various members of the City Council, including Speaker Adrienne Adams, and even with Governor Kathy Hochul, since the taxes needed for universal childcare would need to come from Albany’s executive budget.

'It’s one thing to run on child care,' Saujani says. 'It’s another thing to actually get it done. We have kind of built a movement of moms and parents and business leaders and other elected officials that are going to hold whoever wins the next mayoral race accountable to fulfilling that commitment in the first 100 days.'

...no matter who wins on Nov. 4, Moms First and NYUC say they will work to ensure the next mayor makes the much-needed changes to universal childcare. Saujani believes the next mayor has no choice but to focus on universal childcare.

'Most families in New York City, are one financial event from financial ruin,' Saujani says. 'I think our politicians and elected officials have no option but to deliver for New York City families, and if they don’t, they’ll pay the price in the ballot box.'”

Bam! Moms First's #ChildCareFirstNYC campaign continues to make waves! Check us out in amNewYork this week 🗞️",https://www.linkedin.com/posts/reshma-saujani_childcarefirstnyc-activity-7386450203085611008-fmfe?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADpvVoYBUx2AZFR---ZdAR9LHeZnQHPr4i4
Reshma Saujani,reshma-saujani,2025-12-22T19:14:51.892Z,125,7,4,linkedinVideo,"The midlife penalty x SNL ⬇️ 

Let's actually unpack it!

Much like the motherhood penalty, the midlife penalty is an actual cost women bear as we get older — because as women age, the wage gap widens.

In fact, women ages 45-64 experience a whopping $16,490 earnings gap compared with white men — roughly four times that of women ages 15-24. 

That’s not surprising when you consider how women are systematically disadvantaged in the workplace. We’re too young until we’re too old — not taken seriously in the early stages of our careers, not supported with child care or paid leave if we become mothers, and then, once we think we’re finally through the woods, we’re “past our prime.” Meanwhile, the demands at home can feel unrelenting. Millions are caring for both parents and kids as part of the “sandwich generation,” labor that can go woefully unrecognized. It’s no wonder older women are grossly underrepresented in senior leadership.

And it’s hard to show up fully both at work and at home when your hormones are running wild. Our health continues to be understudied, with less than 5% of global research and development funding going towards women, and less than 1% of NIH funding going towards menopause. As a result, we still don’t fully understand how gender and menopause influence other age-related health issues, like heart attacks and Alzheimer’s disease — leaving older women to suffer from them disproportionately. Unsurprisingly, these care disparities and health risks are only exacerbated for women of color.

So what can we do about it? For starters, we need to create real support systems for women as we get older. At a minimum, companies should be regularly promoting and retaining women in leadership roles at the same rate as men. They could also consider offering menopause and caregiving benefits to help women in midlife stay in the workforce — and help recuperate the $1.8 million per year menopause costs in lost working hours.

Outside of corporate America, we need greater funding for long-neglected research into menopause and other women’s health issues, so that we can treat the literal, physical symptoms that are holding us back. And — maybe most important of all — we need a broader shift in our culture. We need to fundamentally change the way we see middle-aged and above women in our lives, to listen to them, and to hold their stories closely and with care.

People always talk about women’s lives as governed by the dreaded “biological clock.” Implicit in that is a myth that once we hit midlife, our time is up — that there’s nothing left to live for. But it’s an illusion — a vanishing act of epically sexist and ageist proportions. As difficult as midlife can be, it also comes with great joys and freedoms: wisdom, confidence, peace with our lot in life. If, one day, women can enjoy a midlife without the midlife penalty, we can fully step into the power we’ve always had.",https://www.linkedin.com/posts/reshma-saujani_the-midlife-penalty-x-snl-lets-actually-activity-7408948155586719744-zXNI?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE2a-BEBl09j2DeKHhRpFDkwRhKN70r29bw
Reshma Saujani,reshma-saujani,2025-12-02T16:23:18.518Z,114,11,6,linkedinVideo,"ICYMI: We've got some really big things coming in 2026, including a new film about our movement.

If you donate to Moms First this #GivingTuesday, you’re not just giving. You’re becoming an Associate Producer on our historic documentary about American motherhood — helping us change the story about what it means to be a mom in the United States.

🎬 Donate $25 or more to get your name in the credits of our film.
🎁 Or gift an Associate Producer title to a mom who deserves to be seen.

Because moms shouldn’t be holding this country up alone. And together, we can change the story.

🔗 in my comments.",https://www.linkedin.com/posts/reshma-saujani_givingtuesday-activity-7401657224734941184-O5UG?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFoXFi4BOC_D0RsY3wMeWnzL1IKWa8miWCk
